sportsplayed, facilitycondition, postcode, objectid, suburbtown, facilityage
"Tennis (Outdoor)","4. Good",3809,1901,"OFFICER","26 - 50 Years"
"Tennis (Outdoor)","4. Good",3810,1902,"PAKENHAM","26 - 50 Years"
"Tennis (Outdoor)","5. Very Good",3810,1903,"PAKENHAM","0 - 5 Years"
"Tennis (Outdoor)","5. Very Good",3810,1904,"PAKENHAM UPPER","0 - 5 Years"
"Tennis (Outdoor)","3. Average",3810,1905,"PAKENHAM SOUTH","26 - 50 Years"
"Tennis (Outdoor)","5. Very Good",3808,1906,"UPPER BEACONSFIELD","11 - 25 Years"
"Tennis (Outdoor)","5. Very Good",3808,1907,"UPPER BEACONSFIELD","11 - 25 Years"
"Tennis (Outdoor)","2. Poor",3813,1908,"TYNONG","26 - 50 Years"
"Tennis (Outdoor)","5. Very Good",3813,1909,"TYNONG","11 - 25 Years"
"Tennis (Outdoor)","4. Good",3782,1910,"EMERALD","26 - 50 Years"
"Tennis (Outdoor)","3. Average",3981,1911,"YANNATHAN","11 - 25 Years"
"AFL (Indoor)","4. Good",3977,1912,"CRANBOURNE","26 - 50 Years"
"Athletics","5. Very Good",3977,1913,"CRANBOURNE EAST","0 - 5 Years"
"Athletics","3. Average",3806,1914,"BERWICK","11 - 25 Years"
"Athletics",null,3977,1915,"CRANBOURNE",null
"Australian Rules Football","4. Good",3806,1916,"BERWICK","26 - 50 Years"
"Australian Rules Football","5. Very Good",3975,1917,"LYNBROOK","0 - 5 Years"
"Australian Rules Football","3. Average",3802,1918,"ENDEAVOUR HILLS","11 - 25 Years"
"Australian Rules Football",null,3806,1919,"BERWICK",null
"Australian Rules Football","4. Good",3806,1920,"BERWICK","6 - 10 Years"
"Australian Rules Football","5. Very Good",3805,1921,"NARRE WARREN SOUTH","0 - 5 Years"
"Australian Rules Football",null,null,1922,null,null
"Australian Rules Football","5. Very Good",3976,1923,"HAMPTON PARK","11 - 25 Years"
"Australian Rules Football",null,3977,1924,"CRANBOURNE","0 - 5 Years"
"Australian Rules Football","5. Very Good",3977,1925,"CRANBOURNE EAST","6 - 10 Years"
"Australian Rules Football","5. Very Good",3977,1926,"CRANBOURNE EAST","6 - 10 Years"
"Australian Rules Football","4. Good",3802,1927,"ENDEAVOUR HILLS","11 - 25 Years"
"Australian Rules Football",null,3978,1928,"CLYDE",null
"Australian Rules Football","3. Average",3977,1929,"CRANBOURNE","26 - 50 Years"
"Australian Rules Football","4. Good",3806,1930,"BERWICK","26 - 50 Years"
"Australian Rules Football","3. Average",null,1931,"DEAVON MEADOWS","11 - 25 Years"
"Australian Rules Football",null,null,1932,"DEAVON MEADOWS",null
"Australian Rules Football","5. Very Good",3803,1933,"HALLAM","26 - 50 Years"
"Australian Rules Football","3. Average",3977,1934,"CRANBOURNE","11 - 25 Years"
"Bocce","5. Very Good",3802,1971,"ENDEAVOUR HILLS","0 - 5 Years"
"Australian Rules Football","3. Average",3805,1935,"NARRE WARREN NORTH","26 - 50 Years"
"Australian Rules Football","3. Average",3977,1936,"CRANBOURNE","11 - 25 Years"
"Australian Rules Football","4. Good",3805,1937,"NARRE WARREN","11 - 25 Years"
"Australian Rules Football","5. Very Good",3805,1938,"NARRE WARREN NORTH","0 - 5 Years"
"Australian Rules Football","4. Good",3912,1939,"PEARCEDALE","26 - 50 Years"
"Australian Rules Football","3. Average",3177,1940,"DOVETON","26 - 50 Years"
"Australian Rules Football","2. Poor",3802,1941,"EUMEMMERRING","26 - 50 Years"
"Australian Rules Football","5. Very Good",3976,1942,"HAMPTON PARK","26 - 50 Years"
"Australian Rules Football","4. Good",3980,1943,"TOORADIN","0 - 5 Years"
"Australian Rules Football","5. Very Good",3802,1944,"ENDEAVOUR HILLS","0 - 5 Years"
"Australian Rules Football","4. Good",3805,1945,"NARRE WARREN SOUTH","6 - 10 Years"
"Australian Rules Football","3. Average",3805,1946,"NARRE WARREN","11 - 25 Years"
"Australian Rules Football","5. Very Good",3980,1947,"TOORADIN","0 - 5 Years"
"Australian Rules Football","3. Average",3980,1948,"WARNEET","11 - 25 Years"
"Badminton","3. Average",3806,1949,"BERWICK","11 - 25 Years"
"Badminton","4. Good",3802,1950,"ENDEAVOUR HILLS","11 - 25 Years"
"Baseball","4. Good",3806,1951,"BERWICK","11 - 25 Years"
"Basketball",null,3975,1952,"LYNBROOK",null
"Basketball",null,3977,1953,"CRANBOURNE",null
"Basketball",null,null,1954,"DEAVON MEADOWS",null
"Basketball",null,3977,1955,"CRANBOURNE",null
"Basketball",null,3805,1956,"NARRE WARREN",null
"Basketball",null,3977,1957,"CRANBOURNE SOUTH",null
"Basketball",null,3177,1958,"DOVETON",null
"Basketball","3. Average",3980,1959,"WARNEET","11 - 25 Years"
"Beach Volleyball","4. Good",3977,1960,"CRANBOURNE","26 - 50 Years"
"Beach Volleyball",null,3977,1961,"CRANBOURNE",null
"BMX",null,3975,1962,"LYNBROOK",null
"BMX",null,3976,1963,"HAMPTON PARK",null
"BMX",null,null,1964,"DEAVON MEADOWS",null
"BMX","3. Average",3977,1965,"JUNCTION VILLAGE",null
"BMX",null,3802,1966,"EUMEMMERRING",null
"BMX",null,3976,1967,"HAMPTON PARK",null
"BMX",null,3912,1968,"PEARCEDALE",null
"BMX","3. Average",3980,1969,"WARNEET","11 - 25 Years"
"Bocce","3. Average",3802,1970,"EUMEMMERRING","6 - 10 Years"
"Cricket",null,3805,1972,"NARRE WARREN SOUTH",null
"Cricket","4. Good",3806,1973,"BERWICK","26 - 50 Years"
"Cricket","5. Very Good",3975,1974,"LYNBROOK","0 - 5 Years"
"Cricket","3. Average",3802,1975,"ENDEAVOUR HILLS","11 - 25 Years"
"Cricket",null,3806,1976,"BERWICK",null
"Cricket","4. Good",3806,1977,"BERWICK","6 - 10 Years"
"Cricket","5. Very Good",3805,1978,"NARRE WARREN SOUTH","0 - 5 Years"
"Cricket",null,null,1979,null,null
"Cricket","5. Very Good",3976,1980,"HAMPTON PARK","11 - 25 Years"
"Cricket",null,3977,1981,"CRANBOURNE","0 - 5 Years"
"Cricket","5. Very Good",3977,1982,"CRANBOURNE EAST","6 - 10 Years"
"Cricket","5. Very Good",3977,1983,"CRANBOURNE EAST","6 - 10 Years"
"Cricket","4. Good",3802,1984,"ENDEAVOUR HILLS","11 - 25 Years"
"Cricket","3. Average",3978,1985,"CLYDE","26 - 50 Years"
"Cricket","3. Average",3977,1986,"CRANBOURNE","26 - 50 Years"
"Cricket","4. Good",3977,1987,"CRANBOURNE","11 - 25 Years"
"Cricket","4. Good",3806,1988,"BERWICK","26 - 50 Years"
"Cricket","3. Average",3802,1989,"ENDEAVOUR HILLS","11 - 25 Years"
"Cricket","3. Average",null,1990,"DEAVON MEADOWS","11 - 25 Years"
"Cricket",null,null,1991,"DEAVON MEADOWS",null
"Cricket","5. Very Good",3803,1992,"HALLAM","26 - 50 Years"
"Cricket","3. Average",3977,1993,"CRANBOURNE","11 - 25 Years"
"Cricket","3. Average",3977,1994,"JUNCTION VILLAGE",null
"Cricket","3. Average",3805,1995,"NARRE WARREN NORTH","26 - 50 Years"
"Cricket","3. Average",3976,1996,"HAMPTON PARK","26 - 50 Years"
"Cricket","3. Average",3976,1997,"HAMPTON PARK","26 - 50 Years"
"Cricket","3. Average",3977,1998,"CRANBOURNE","11 - 25 Years"
"Cricket","4. Good",3805,1999,"NARRE WARREN","11 - 25 Years"
"Cricket","4. Good",3805,2000,"NARRE WARREN","11 - 25 Years"
"Lawn Bowls",null,3727,6001,"ST JAMES",null
"Lawn Bowls","2. Poor",3641,6002,"STRATHMERTON","11 - 25 Years"
"Lawn Bowls",null,3728,6003,"TUNGAMAH",null
"Lawn Bowls",null,3635,6004,"WUNGHNU",null
"Lawn Bowls",null,3730,6005,"YARRAWONGA",null
"Motor Sports",null,3644,6007,"COBRAM",null
"Motor Sports",null,3636,6008,"NUMURKAH",null
"Motor Sports",null,3728,6009,"WILBY",null
"Netball","3. Average",3644,6010,"COBRAM","11 - 25 Years"
"Netball","3. Average",3644,6011,"COBRAM","6 - 10 Years"
"Netball",null,3649,6012,"KATAMATITE",null
"Netball",null,3640,6013,"KATUNGA",null
"Netball","4. Good",3638,6014,"NATHALIA","11 - 25 Years"
"Netball",null,3636,6015,"NUMURKAH",null
"Netball",null,3636,6016,"NUMURKAH",null
"Netball",null,3639,6017,"PICOLA",null
"Netball","2. Poor",3641,6018,"STRATHMERTON","11 - 25 Years"
"Netball",null,3728,6019,"TUNGAMAH",null
"Netball",null,3637,6020,"WAAIA",null
"Netball",null,3635,6021,"WUNGHNU",null
"Netball",null,3730,6022,"YARRAWONGA",null
"Netball",null,3730,6023,"YARRAWONGA",null
"Netball",null,3644,6024,"YARROWEYAH",null
"Rugby Union",null,3644,6025,"KOONOOMOO",null
"Sailing",null,3730,6026,"YARRAWONGA",null
"Skating","5. Very Good",3644,6027,"COBRAM","0 - 5 Years"
"Skating","4. Good",3638,6028,"NATHALIA","6 - 10 Years"
"Skating",null,3636,6029,"NUMURKAH",null
"Skating",null,3641,6030,"STRATHMERTON",null
"Skating",null,3730,6031,"YARRAWONGA",null
"Soccer","2. Poor",3644,6032,"COBRAM",null
"Soccer","1. Very Poor",3644,6033,"COBRAM","26 - 50 Years"
"Soccer",null,3636,6034,"NUMURKAH",null
"Soccer (Indoor Soccer / Futsal)","4. Good",3644,6035,"COBRAM","11 - 25 Years"
"Soccer (Indoor Soccer / Futsal)","4. Good",3638,6036,"NATHALIA","26 - 50 Years"
"Squash / Racquetball","4. Good",3636,6037,"NUMURKAH","26 - 50 Years"
"Swimming","3. Average",3644,6038,"COBRAM","51 Years +"
"Swimming","4. Good",3638,6039,"NATHALIA","51 Years +"
"Swimming","4. Good",3636,6040,"NUMURKAH","26 - 50 Years"
"Swimming",null,3636,6041,"NUMURKAH","51 Years +"
"Swimming",null,3641,6042,"STRATHMERTON","26 - 50 Years"
"Swimming","4. Good",3730,6043,"YARRAWONGA","26 - 50 Years"
"Table Tennis",null,3730,6044,"YARRAWONGA",null
"Tennis (Indoor)","3. Average",3730,6045,"BUNDALONG","11 - 25 Years"
"Tennis (Indoor)","3. Average",3636,6046,"INVERGORDON","26 - 50 Years"
"Tennis (Outdoor)","3. Average",3644,6047,"COBRAM",null
"Tennis (Outdoor)",null,3637,6048,"WAAIA",null
"Tennis (Outdoor)",null,3637,6049,"WAAIA",null
"Tennis (Outdoor)",null,3644,6050,"COBRAM",null
"Tennis (Outdoor)",null,3649,6051,"KATAMATITE","11 - 25 Years"
"Tennis (Outdoor)",null,3640,6052,"KATUNGA",null
"Tennis (Outdoor)",null,3636,6053,"NUMURKAH",null
"Tennis (Outdoor)",null,null,6054,"PICOLA",null
"Tennis (Outdoor)",null,3638,6055,"NATHALIA",null
"Tennis (Outdoor)",null,3638,6056,"NATHALIA",null
"Tennis (Outdoor)",null,3636,6057,"NUMURKAH",null
"Tennis (Outdoor)",null,3636,6058,"NUMURKAH",null
"Tennis (Outdoor)",null,3639,6059,"PICOLA",null
"Tennis (Outdoor)",null,3727,6060,"ST JAMES",null
"Tennis (Outdoor)","2. Poor",3641,6061,"STRATHMERTON","11 - 25 Years"
"Tennis (Outdoor)","2. Poor",3641,6062,"STRATHMERTON","11 - 25 Years"
"Tennis (Outdoor)",null,3728,6063,"TUNGAMAH",null
"Tennis (Outdoor)",null,3637,6064,"WAAIA",null
"Tennis (Outdoor)",null,3728,6065,"WILBY",null
"Tennis (Outdoor)",null,3635,6066,"WUNGHNU",null
"Tennis (Outdoor)",null,3641,6067,"BEARII",null
"Tennis (Outdoor)",null,3730,6068,"YARRAWONGA",null
"Tennis (Outdoor)",null,3730,6069,"YARRAWONGA",null
"Tennis (Outdoor)",null,3644,6070,"YARROWEYAH",null
"Athletics",null,3150,6071,"GLEN WAVERLEY",null
"Athletics","4. Good",3166,6072,"OAKLEIGH","26 - 50 Years"
"Australian Rules Football","3. Average",3150,6073,"GLEN WAVERLEY","26 - 50 Years"
"Australian Rules Football","2. Poor",3150,6074,"GLEN WAVERLEY","26 - 50 Years"
"Australian Rules Football","3. Average",3150,6075,"GLEN WAVERLEY","26 - 50 Years"
"Australian Rules Football","5. Very Good",3150,6076,"GLEN WAVERLEY","0 - 5 Years"
"Australian Rules Football","2. Poor",3150,6077,"WHEELERS HILL","26 - 50 Years"
"Australian Rules Football","4. Good",3147,6078,"ASHWOOD","26 - 50 Years"
"Lawn Bowls","3. Average",3166,6191,"OAKLEIGH","26 - 50 Years"
"Australian Rules Football","4. Good",3148,6079,"CHADSTONE","11 - 25 Years"
"Australian Rules Football",null,3166,6080,"HUNTINGDALE",null
"Australian Rules Football","3. Average",3166,6081,"OAKLEIGH","26 - 50 Years"
"Australian Rules Football","5. Very Good",3168,6082,"CLAYTON","26 - 50 Years"
"Australian Rules Football","4. Good",3149,6083,"MT WAVERLEY","51 Years +"
"Australian Rules Football","3. Average",3150,6084,"WHEELERS HILL","26 - 50 Years"
"Australian Rules Football","2. Poor",3149,6085,"MT WAVERLEY","26 - 50 Years"
"Australian Rules Football","5. Very Good",3166,6086,"OAKLEIGH","26 - 50 Years"
"Australian Rules Football","3. Average",3166,6087,"OAKLEIGH","26 - 50 Years"
"Australian Rules Football","4. Good",3149,6088,"MT WAVERLEY","26 - 50 Years"
"Australian Rules Football","5. Very Good",3166,6089,"OAKLEIGH","6 - 10 Years"
"Australian Rules Football",null,3170,6090,"MULGRAVE",null
"Australian Rules Football","2. Poor",3170,6091,"MULGRAVE","26 - 50 Years"
"Badminton","4. Good",3166,6092,"OAKLEIGH","26 - 50 Years"
"Baseball","3. Average",3170,6093,"MULGRAVE","26 - 50 Years"
"Baseball",null,3168,6095,"CLAYTON",null
"Baseball","3. Average",3150,6096,"GLEN WAVERLEY","26 - 50 Years"
"Baseball","2. Poor",3166,6097,"OAKLEIGH","26 - 50 Years"
"Basketball","4. Good",3150,6098,"GLEN WAVERLEY","26 - 50 Years"
"Basketball","4. Good",3166,6099,"OAKLEIGH","26 - 50 Years"
"Basketball",null,3150,6100,"GLEN WAVERLEY",null
"Basketball",null,3150,6101,"GLEN WAVERLEY",null
"Basketball","4. Good",3148,6102,"CHADSTONE","11 - 25 Years"
"BMX","2. Poor",3166,6103,"OAKLEIGH","11 - 25 Years"
"Bocce","3. Average",3168,6104,"CLAYTON","11 - 25 Years"
"Bocce","4. Good",3166,6105,"OAKLEIGH","11 - 25 Years"
"Bocce","4. Good",3166,6106,"OAKLEIGH","11 - 25 Years"
"Boxing","3. Average",3147,6107,"ASHWOOD","51 Years +"
"Callisthenics","5. Very Good",3147,6108,"ASHWOOD","0 - 5 Years"
"Cricket","1. Very Poor",3147,6109,"ASHWOOD","26 - 50 Years"
"Cricket","4. Good",3148,6110,"CHADSTONE","26 - 50 Years"
"Cricket","4. Good",3150,6111,"WHEELERS HILL","26 - 50 Years"
"Cricket","3. Average",3150,6112,"GLEN WAVERLEY","26 - 50 Years"
"Cricket","1. Very Poor",3166,6113,"OAKLEIGH","26 - 50 Years"
"Cricket","2. Poor",3150,6114,"GLEN WAVERLEY","26 - 50 Years"
"Cricket","4. Good",3168,6115,"CLAYTON","11 - 25 Years"
"Cricket","5. Very Good",3150,6116,"GLEN WAVERLEY","0 - 5 Years"
"Fitness / Gymnasium Workouts",null,3168,6153,"CLAYTON",null
"Cricket","5. Very Good",3150,6117,"GLEN WAVERLEY","0 - 5 Years"
"Cricket","2. Poor",3150,6118,"WHEELERS HILL","26 - 50 Years"
"Cricket",null,3168,6119,"CLAYTON",null
"Cricket","4. Good",3147,6120,"ASHWOOD","26 - 50 Years"
"Cricket","3. Average",3170,6121,"MULGRAVE","26 - 50 Years"
"Cricket","4. Good",3168,6122,"CLAYTON","26 - 50 Years"
"Cricket","3. Average",3170,6123,"MULGRAVE","26 - 50 Years"
"Cricket","5. Very Good",3150,6124,"GLEN WAVERLEY","6 - 10 Years"
"Cricket","1. Very Poor",3147,6125,"ASHWOOD","26 - 50 Years"
"Cricket","4. Good",3148,6126,"CHADSTONE","11 - 25 Years"
"Cricket","2. Poor",3150,6127,"GLEN WAVERLEY","26 - 50 Years"
"Cricket","3. Average",3150,6128,"WHEELERS HILL","26 - 50 Years"
"Cricket",null,3166,6129,"HUNTINGDALE",null
"Cricket","3. Average",3166,6130,"OAKLEIGH","26 - 50 Years"
"Cricket","5. Very Good",3168,6131,"CLAYTON","26 - 50 Years"
"Cricket","4. Good",3149,6132,"MT WAVERLEY","51 Years +"
"Cricket","3. Average",3150,6133,"WHEELERS HILL","26 - 50 Years"
"Cricket","3. Average",3150,6134,"WHEELERS HILL","26 - 50 Years"
"Cricket",null,3145,6135,"MALVERN EAST",null
"Cricket",null,3145,6136,"MALVERN EAST",null
"Cricket","2. Poor",3149,6137,"MT WAVERLEY","26 - 50 Years"
"Cricket","3. Average",3166,6138,"OAKLEIGH","26 - 50 Years"
"Cricket","3. Average",3166,6139,"OAKLEIGH","26 - 50 Years"
"Cricket","2. Poor",3166,6140,"OAKLEIGH","26 - 50 Years"
"Cricket","2. Poor",3170,6141,"MULGRAVE","26 - 50 Years"
"Cricket","3. Average",3166,6142,"OAKLEIGH","51 Years +"
"Cricket","2. Poor",3170,6143,"MULGRAVE","26 - 50 Years"
"Cricket (Indoor)",null,3168,6144,"NOTTING HILL",null
"Cricket (Indoor)",null,3166,6145,"OAKLEIGH",null
"Croquet",null,3147,6146,"ASHWOOD",null
"Equestrian","4. Good",3150,6147,"GLEN WAVERLEY","6 - 10 Years"
"Fitness / Gymnasium Workouts",null,3149,6148,"MT WAVERLEY",null
"Fitness / Gymnasium Workouts",null,3149,6149,"MT WAVERLEY",null
"Fitness / Gymnasium Workouts",null,3166,6150,"OAKLEIGH",null
"Fitness / Gymnasium Workouts","5. Very Good",3168,6151,"CLAYTON","0 - 5 Years"
"Fitness / Gymnasium Workouts",null,3149,6152,"MT WAVERLEY",null
"Fitness / Gymnasium Workouts",null,3149,6154,"MT WAVERLEY",null
"Fitness / Gymnasium Workouts",null,3150,6155,"GLEN WAVERLEY",null
"Fitness / Gymnasium Workouts",null,3148,6156,"CHADSTONE",null
"Fitness / Gymnasium Workouts",null,3166,6157,"OAKLEIGH",null
"Fitness / Gymnasium Workouts",null,3150,6158,"GLEN WAVERLEY",null
"Fitness / Gymnasium Workouts",null,3150,6159,"WHEELERS HILL",null
"Fitness / Gymnasium Workouts","5. Very Good",3150,6160,"GLEN WAVERLEY","11 - 25 Years"
"Fitness / Gymnasium Workouts",null,3168,6161,"CLAYTON",null
"Fitness / Gymnasium Workouts",null,3168,6162,"CLAYTON",null
"Fitness / Gymnasium Workouts",null,3145,6163,"MALVERN EAST",null
"Fitness / Gymnasium Workouts",null,3149,6164,"MT WAVERLEY",null
"Fitness / Gymnasium Workouts",null,3168,6165,"CLAYTON",null
"Golf",null,3166,6166,"OAKLEIGH",null
"Golf",null,3166,6167,"OAKLEIGH",null
"Golf","3. Average",3166,6168,"OAKLEIGH","26 - 50 Years"
"Golf","3. Average",3150,6169,"WHEELERS HILL","11 - 25 Years"
"Golf",null,3149,6170,"MT WAVERLEY",null
"Golf","3. Average",3150,6171,"GLEN WAVERLEY","11 - 25 Years"
"Gymnastics",null,3150,6172,"GLEN WAVERLEY",null
"Gymnastics",null,3168,6173,"CLAYTON",null
"Gymnastics",null,3168,6174,"NOTTING HILL",null
"Gymnastics",null,3150,6175,"GLEN WAVERLEY",null
"Gymnastics",null,3149,6176,"MT WAVERLEY",null
"Hockey","4. Good",3147,6177,"ASHWOOD","11 - 25 Years"
"Hockey",null,3149,6178,"MOUNT WAVERLEY",null
"Hockey",null,3168,6179,"CLAYTON",null
"Ice Hockey",null,3167,6180,"OAKLEIGH SOUTH",null
"Karate",null,3166,6181,"OAKLEIGH",null
"Lacrosse",null,3145,6183,"MALVERN EAST",null
"Lawn Bowls","4. Good",3150,6184,"GLEN WAVERLEY","26 - 50 Years"
"Lawn Bowls","4. Good",3150,6185,"GLEN WAVERLEY","26 - 50 Years"
"Lawn Bowls","4. Good",3149,6186,"MT WAVERLEY","26 - 50 Years"
"Lawn Bowls",null,3150,6187,"WHEELERS HILL",null
"Lawn Bowls","3. Average",3166,6188,"OAKLEIGH","51 Years +"
"Lawn Bowls",null,3145,6189,"MALVERN EAST",null
"Lawn Bowls",null,3149,6190,"MT WAVERLEY",null
"Netball","3. Average",3147,6192,"ASHWOOD","26 - 50 Years"
"Netball","4. Good",3150,6193,"GLEN WAVERLEY","26 - 50 Years"
"Netball (Indoor)",null,3166,6194,"OAKLEIGH",null
"Netball (Indoor)","4. Good",3166,6195,"OAKLEIGH","26 - 50 Years"
"Netball (Indoor)","4. Good",3150,6196,"GLEN WAVERLEY","11 - 25 Years"
"Rugby League","4. Good",3168,6197,"CLAYTON","26 - 50 Years"
"Rugby Union","4. Good",3147,6198,"ASHWOOD","26 - 50 Years"
"Skating","3. Average",3150,6199,"GLEN WAVERLEY","11 - 25 Years"
"Soccer","1. Very Poor",3147,6200,"ASHWOOD","26 - 50 Years"
"Soccer","4. Good",3148,6201,"CHADSTONE","26 - 50 Years"
"Soccer","4. Good",3150,6202,"WHEELERS HILL","26 - 50 Years"
"Soccer","1. Very Poor",3166,6203,"OAKLEIGH","26 - 50 Years"
"Soccer","4. Good",3168,6204,"CLAYTON","11 - 25 Years"
"Soccer",null,3168,6205,"CLAYTON",null
"Soccer","3. Average",3170,6206,"MULGRAVE","26 - 50 Years"
"Soccer","4. Good",3147,6207,"ASHWOOD","26 - 50 Years"
"Soccer","5. Very Good",3150,6208,"GLEN WAVERLEY","6 - 10 Years"
"Soccer","3. Average",3166,6209,"OAKLEIGH","26 - 50 Years"
"Soccer","2. Poor",3150,6210,"GLEN WAVERLEY","26 - 50 Years"
"Soccer","3. Average",3150,6211,"WHEELERS HILL","26 - 50 Years"
"Soccer",null,3166,6212,"HUNTINGDALE",null
"Soccer",null,3166,6213,"OAKLEIGH",null
"Soccer",null,3150,6214,"WHEELERS HILL",null
"Soccer (Indoor Soccer / Futsal)",null,3168,6215,"NOTTING HILL",null
"Soccer (Indoor Soccer / Futsal)",null,3166,6216,"OAKLEIGH",null
"Soccer (Indoor Soccer / Futsal)","4. Good",3166,6217,"OAKLEIGH","26 - 50 Years"
"Softball","4. Good",3150,6218,"GLEN WAVERLEY","11 - 25 Years"
"Squash / Racquetball",null,3168,6219,"CLAYTON",null
"Squash / Racquetball",null,3150,6220,"WHEELERS HILL",null
"Swimming","5. Very Good",3168,6221,"CLAYTON","0 - 5 Years"
"Swimming","5. Very Good",3150,6222,"GLEN WAVERLEY","26 - 50 Years"
"Swimming",null,3168,6223,"CLAYTON",null
"Swimming","4. Good",3166,6224,"OAKLEIGH","26 - 50 Years"
"Tennis (Indoor)",null,3145,6225,"MALVERN EAST",null
"Tennis (Outdoor)","3. Average",3150,6226,"GLEN WAVERLEY","26 - 50 Years"
"Tennis (Outdoor)","2. Poor",3168,6227,"CLAYTON","11 - 25 Years"
"Tennis (Outdoor)",null,3150,6228,"GLEN WAVERLEY",null
"Tennis (Outdoor)","4. Good",3149,6229,"MT WAVERLEY","26 - 50 Years"
"Tennis (Outdoor)",null,3149,6230,"MT WAVERLEY",null
"Tennis (Outdoor)","3. Average",3150,6231,"GLEN WAVERLEY","26 - 50 Years"
"Tennis (Outdoor)","3. Average",3148,6232,"CHADSTONE","26 - 50 Years"
"Tennis (Outdoor)","3. Average",3150,6233,"WHEELERS HILL","26 - 50 Years"
"Tennis (Outdoor)","3. Average",3166,6234,"OAKLEIGH","26 - 50 Years"
"Tennis (Outdoor)","3. Average",3150,6235,"GLEN WAVERLEY","26 - 50 Years"
"Tennis (Outdoor)","3. Average",3149,6236,"MT WAVERLEY","51 Years +"
"Tennis (Outdoor)",null,3150,6237,"WHEELERS HILL",null
"Tennis (Outdoor)","3. Average",3166,6238,"OAKLEIGH","26 - 50 Years"
"Tennis (Outdoor)",null,3166,6239,"OAKLEIGH",null
"Tennis (Outdoor)","4. Good",3149,6240,"MT WAVERLEY","26 - 50 Years"
"Volleyball",null,3166,6241,"OAKLEIGH",null
"Volleyball","4. Good",3166,6242,"OAKLEIGH","26 - 50 Years"
null,null,3040,6243,"ESSENDON",null
"Aerobics",null,3039,6244,"MOONEE PONDS",null
"Aerobics","4. Good",3032,6245,"ASCOT VALE","26 - 50 Years"
"Aerobics",null,3033,6246,"KEILOR EAST",null
"Aerobics",null,3042,6247,"NIDDRIE",null
"Aerobics",null,3033,6248,"KEILOR EAST",null
"Aerobics",null,3039,6249,"MOONEE PONDS",null
"Aerobics",null,3033,6250,"KEILOR EAST",null
"Aerobics","2. Poor",3033,6251,"EAST KEILOR","26 - 50 Years"
"Aerobics",null,3032,6252,"ASCOT VALE",null
"Aerobics",null,3041,6253,"NORTH ESSENDON",null
"Aerobics",null,3040,6254,"ESSENDON",null
"Aerobics",null,3039,6255,"MOONEE PONDS",null
"Aerobics",null,3032,6256,"ASCOT VALE",null
"Aerobics",null,3040,6257,"ESSENDON",null
"Aerobics",null,3039,6258,"MOONEE PONDS",null
"Aerobics",null,3040,6259,"ESSENDON",null
"Athletics","4. Good",3039,6260,"MOONEE PONDS","51 Years +"
"Australian Rules Football","2. Poor",3039,6261,"MOONEE PONDS","26 - 50 Years"
"Australian Rules Football","4. Good",3041,6262,"STRATHMORE HEIGHTS","11 - 25 Years"
"Australian Rules Football","3. Average",3040,6263,"ESSENDON","26 - 50 Years"
"Australian Rules Football","4. Good",3034,6264,"AVONDALE HEIGHTS","26 - 50 Years"
"Australian Rules Football","3. Average",3040,6265,"ABERFELDIE","26 - 50 Years"
"Australian Rules Football","4. Good",3040,6266,"ESSENDON","51 Years +"
"Australian Rules Football","3. Average",3042,6267,"AIRPORT WEST","26 - 50 Years"
"Australian Rules Football","3. Average",3042,6268,"AIRPORT WEST","26 - 50 Years"
"Australian Rules Football","2. Poor",3041,6269,"STRATHMORE","26 - 50 Years"
"Australian Rules Football","4. Good",3039,6270,"MOONEE PONDS","26 - 50 Years"
"Australian Rules Football","4. Good",3039,6271,"MOONEE PONDS","26 - 50 Years"
"Australian Rules Football","3. Average",3033,6272,"KEILOR EAST","26 - 50 Years"
"Australian Rules Football","4. Good",3032,6273,"ASCOT VALE",null
"Badminton","3. Average",3041,6274,"NORTH ESSENDON","26 - 50 Years"
"Badminton",null,3040,6275,"ESSENDON",null
"Baseball","4. Good",3041,6276,"STRATHMORE HEIGHTS","11 - 25 Years"
"Boxing",null,3041,6277,"NORTH ESSENDON",null
"Cricket","2. Poor",3039,6278,"MOONEE PONDS","26 - 50 Years"
"Cricket","3. Average",3042,6279,"NIDDRIE","26 - 50 Years"
"Cricket","3. Average",3041,6280,"STRATHMORE HEIGHTS","11 - 25 Years"
"Cricket","3. Average",3040,6281,"ESSENDON","26 - 50 Years"
"Cricket","3. Average",3040,6282,"ESSENDON","26 - 50 Years"
"Cricket","4. Good",3034,6283,"AVONDALE HEIGHTS","26 - 50 Years"
"Cricket","3. Average",3040,6284,"ABERFELDIE","26 - 50 Years"
"Cricket","1. Very Poor",3040,6285,"ESSENDON","26 - 50 Years"
"Cricket","4. Good",3031,6286,"FLEMINGTON","6 - 10 Years"
"Cricket","4. Good",3034,6287,"AVONDALE HEIGHTS","6 - 10 Years"
"Cricket","4. Good",3040,6288,"ESSENDON","51 Years +"
"Cricket","3. Average",3042,6289,"AIRPORT WEST","26 - 50 Years"
"Cricket","2. Poor",3032,6290,"ASCOT VALE","51 Years +"
"Cricket","3. Average",3042,6291,"AIRPORT WEST","26 - 50 Years"
"Cricket","2. Poor",3041,6292,"STRATHMORE","26 - 50 Years"
"Cricket","4. Good",3039,6293,"MOONEE PONDS","26 - 50 Years"
"Cricket","4. Good",3039,6294,"MOONEE PONDS","26 - 50 Years"
