sportsplayed, facilitycondition, postcode, objectid, suburbtown, facilityage
"Fitness / Gymnasium Workouts",null,3065,9098,"FITZROY",null
"Fitness / Gymnasium Workouts",null,3068,9099,"FITZROY NORTH",null
"Fitness / Gymnasium Workouts",null,3053,9100,"CARLTON",null
"Fitness / Gymnasium Workouts",null,3053,9101,"CARLTON",null
"Fitness / Gymnasium Workouts",null,3065,9102,"FITZROY",null
"Fitness / Gymnasium Workouts",null,3121,9103,"RICHMOND",null
"Fitness / Gymnasium Workouts",null,3121,9104,"RICHMOND",null
"Fitness / Gymnasium Workouts",null,3121,9105,"RICHMOND",null
"Fitness / Gymnasium Workouts",null,3068,9106,"FITZROY NORTH",null
"Fitness / Gymnasium Workouts",null,3078,9107,"FAIRFIELD",null
"Fitness / Gymnasium Workouts",null,3121,9108,"RICHMOND",null
"Fitness / Gymnasium Workouts",null,3065,9109,"FITZROY",null
"Fitness / Gymnasium Workouts","3. Average",3065,9110,"FITZROY","26 - 50 Years"
"Fitness / Gymnasium Workouts",null,3065,9112,"FITZROY",null
"Fitness / Gymnasium Workouts",null,3068,9113,"FITZROY NORTH",null
"Fitness / Gymnasium Workouts",null,3065,9114,"FITZROY",null
"Fitness / Gymnasium Workouts",null,3065,9115,"FITZROY",null
"Fitness / Gymnasium Workouts",null,3065,9116,"FITZROY",null
"Fitness / Gymnasium Workouts",null,3068,9117,"CLIFTON HILL",null
"Fitness / Gymnasium Workouts",null,3121,9118,"RICHMOND",null
"Fitness / Gymnasium Workouts",null,null,9119,"FITZROY",null
"Fitness / Gymnasium Workouts",null,3065,9120,"FITZROY",null
"Fitness / Gymnasium Workouts",null,3121,9121,"RICHMOND",null
"Fitness / Gymnasium Workouts",null,3121,9122,"RICHMOND",null
"Fitness / Gymnasium Workouts",null,3065,9123,"FITZROY",null
"Fitness / Gymnasium Workouts",null,3121,9124,"RICHMOND",null
"Fitness / Gymnasium Workouts",null,null,9125,"RICHMOND",null
"Fitness / Gymnasium Workouts",null,3121,9126,"RICHMOND",null
"Fitness / Gymnasium Workouts","4. Good",3121,9127,"RICHMOND","51 Years +"
"Fitness / Gymnasium Workouts",null,3065,9128,"FITZROY",null
"Fitness / Gymnasium Workouts",null,3121,9129,"RICHMOND",null
"Fitness / Gymnasium Workouts",null,3121,9130,"RICHMOND",null
"Fitness / Gymnasium Workouts",null,3121,9131,"RICHMOND",null
"Fitness / Gymnasium Workouts",null,null,9132,"COLLINGWOOD",null
"Fitness / Gymnasium Workouts",null,3068,9133,"FITZROY NORTH",null
"Fitness / Gymnasium Workouts",null,3065,9134,"FITZROY",null
"Fitness / Gymnasium Workouts",null,3121,9135,"RICHMOND",null
"Fitness / Gymnasium Workouts",null,3065,9136,"FITZROY",null
"Fitness / Gymnasium Workouts",null,3065,9137,"FITZROY",null
"Fitness / Gymnasium Workouts",null,3065,9138,"FITZROY",null
"Fitness / Gymnasium Workouts",null,3121,9139,"RICHMOND",null
"Gaelic Football",null,null,9140,"FAIRFIELD",null
"Golf","4. Good",3121,9141,"BURNLEY","26 - 50 Years"
"Golf",null,3078,9142,"FAIRFIELD",null
"Golf","4. Good",3067,9143,"ABBOTSFORD","26 - 50 Years"
"Lawn Bowls","3. Average",3067,9144,"ALPHINGTON",null
"Lawn Bowls","4. Good",3065,9145,"FITZROY","26 - 50 Years"
"Lawn Bowls","4. Good",3121,9146,"RICHMOND","26 - 50 Years"
"Martial Arts",null,3065,9147,"FITZROY",null
"Martial Arts",null,3066,9148,"COLLINGWOOD",null
"Martial Arts",null,3066,9149,"COLLINGWOOD",null
"Martial Arts",null,3121,9150,"RICHMOND",null
"Martial Arts",null,3065,9151,"FITZROY",null
"Martial Arts",null,3068,9152,"CLIFTON HILL",null
"Martial Arts",null,3065,9153,"FITZROY",null
"Martial Arts",null,3121,9154,"RICHMOND",null
"Martial Arts",null,3067,9155,"ABBOTSFORD",null
"Netball","4. Good",3068,9156,"CLIFTON HILL","26 - 50 Years"
"Netball",null,null,9157,"BURNLEY",null
"Netball","3. Average",3121,9158,"RICHMOND","11 - 25 Years"
"Netball","3. Average",3121,9159,"BURNLEY","11 - 25 Years"
"Skating","3. Average",3068,9160,"FITZROY NORTH","11 - 25 Years"
"Skating",null,3078,9161,"FAIRFIELD",null
"Soccer","4. Good",3121,9162,"CREMORNE","11 - 25 Years"
"Soccer","4. Good",3067,9163,"ALPHINGTON","51 Years +"
"Soccer",null,3065,9164,"FITZROY",null
"Soccer","3. Average",3121,9165,"BURNLEY","26 - 50 Years"
"Soccer","4. Good",3121,9166,"BURNLEY","0 - 5 Years"
"Soccer","3. Average",3068,9167,"CLIFTON HILL","26 - 50 Years"
"Soccer","2. Poor",3078,9168,"FAIRFIELD","26 - 50 Years"
"Soccer","1. Very Poor",3078,9169,"FAIRFIELD","26 - 50 Years"
"Soccer","3. Average",3121,9170,"BURNLEY","26 - 50 Years"
"Soccer","4. Good",3068,9171,"CLIFTON HILL","26 - 50 Years"
"Soccer",null,null,9172,"FAIRFIELD",null
"Soccer",null,3078,9173,"FAIRFIELD",null
"Soccer","3. Average",3078,9174,"FAIRFIELD","26 - 50 Years"
"Soccer (Indoor Soccer / Futsal)",null,null,9175,"COLLINGWOOD",null
"Soccer (Indoor Soccer / Futsal)",null,null,9176,"PRINCES HILL",null
"Soccer (Indoor Soccer / Futsal)",null,null,9177,"PRINCES HILL",null
"Squash / Racquetball",null,3065,9178,"FITZROY",null
"Swimming","5. Very Good",3068,9179,"CLIFTON HILL","26 - 50 Years"
"Swimming","3. Average",3065,9180,"FITZROY","26 - 50 Years"
"Swimming",null,3121,9181,"RICHMOND",null
"Swimming","4. Good",3121,9182,"RICHMOND","51 Years +"
"Tennis (Indoor)",null,3121,9183,"RICHMOND",null
"Tennis (Outdoor)","3. Average",3065,9184,"FITZROY","26 - 50 Years"
"Tennis (Outdoor)","4. Good",3068,9185,"CLIFTON HILL","26 - 50 Years"
"Tennis (Outdoor)",null,3121,9186,"RICHMOND",null
"Tennis (Outdoor)","3. Average",3121,9187,"BURNLEY","11 - 25 Years"
"Underwater Hockey",null,3121,9188,"RICHMOND",null
"Volleyball",null,null,9189,"COLLINGWOOD",null
"Cricket",null,3140,9252,"LILYDALE",null
"Archery","3. Average",3156,9190,"UPPER FERNTREE GULLY","26 - 50 Years"
"Athletics","5. Very Good",3796,9191,"MOUNT EVELYN","0 - 5 Years"
"Australian Rules Football","4. Good",3160,9192,"BELGRAVE","26 - 50 Years"
"Australian Rules Football","3. Average",3160,9193,"BELGRAVE SOUTH","26 - 50 Years"
"Australian Rules Football","2. Poor",3138,9194,"MOOROOLBARK","26 - 50 Years"
"Australian Rules Football","4. Good",3777,9195,"HEALESVILLE","26 - 50 Years"
